ID,Treatment,Original_vial,Male1_ID,Male2_ID,Offspring_Gen1,Offspring_Gen2,Offspring_Gen3,Offspring_Gen4,Offspring_Gen5,Offspring_Gen6,Offspring_Gen7,Offspring_Gen8,Offspring_Gen9,Offspring_Gen10
1,Monogamous,61,61,61,19,85,315,11,10,12,3,0,0,0
2,Polyandrous,56,56,57,54,146,452,4,44,123,21,60,193,66
3,Monogamous,62,62,62,70,273,133,4,5,31,22,4,0,0
4,Polyandrous,57,57,58,52,75,421,45,223,268,63,163,332,357
5,Monogamous,63,63,63,67,239,221,40,102,345,330,167,526,54
6,Polyandrous,58,58,59,39,282,487,16,102,258,79,286,450,137
7,Polyandrous,59,59,60,28,46,260,17,114,421,8,20,134,80
8,Polyandrous,60,60,56,63,175,220,30,215,329,193,549,426,280
9,Polyandrous,51,51,52,96,437,252,16,29,95,15,40,133,163
10,Monogamous,64,64,64,35,172,259,103,340,251,83,247,403,109
11,Polyandrous,52,52,53,45,299,345,26,270,248,48,307,259,477
12,Polyandrous,53,53,54,46,358,332,71,118,247,191,142,478,184
13,Polyandrous,54,54,55,42,547,410,321,188,392,446,223,635,425
14,Polyandrous,55,55,51,49,261,460,277,135,478,63,67,207,258
15,Monogamous,65,65,61,108,458,271,65,368,173,151,225,224,279
16,Polyandrous,46,46,47,78,540,NA,66,462,460,150,295,565,279
17,Monogamous,66,66,66,85,531,238,16,27,78,101,215,256,173
18,Monogamous,67,67,67,21,29,76,58,34,17,23,2,0,0
19,Polyandrous,47,47,48,92,162,4,22,90,214,30,128,301,336
20,Polyandrous,48,48,49,46,533,260,112,418,73,106,364,348,83
21,Polyandrous,49,49,50,57,447,364,100,306,221,331,528,464,251
22,Polyandrous,50,50,46,56,767,327,16,242,225,145,274,263,213
23,Polyandrous,41,41,42,111,651,358,13,76,130,73,163,431,231
24,Polyandrous,42,42,43,86,709,469,240,NA,219,224,496,394,342
25,Polyandrous,43,43,44,6,31,164,99,18,59,202,19,98,55
26,Monogamous,68,68,68,44,88,281,60,121,191,181,582,504,159
27,Polyandrous,39,39,40,48,56,238,209,158,302,345,360,612,133
28,Monogamous,69,69,69,49,50,50,21,115,109,312,175,375,192
29,Polyandrous,29,29,30,94,52,48,86,231,128,119,378,425,119
30,Polyandrous,36,36,37,41,49,212,41,39,69,27,58,213,57
31,Monogamous,70,70,70,37,17,0,0,0,0,0,0,0,0
32,Monogamous,71,71,71,12,50,127,129,173,391,257,153,463,161
33,Polyandrous,26,26,28,10,20,37,53,118,192,193,192,241,319
34,Monogamous,72,72,72,27,24,58,299,282,329,276,510,391,283
35,Polyandrous,28,28,29,94,72,305,188,153,331,43,358,177,299
36,Polyandrous,32,32,33,31,107,239,203,213,526,136,676,241,552
37,Polyandrous,24,24,25,44,115,306,62,109,197,57,145,265,149
38,Monogamous,73,73,73,63,209,148,322,231,392,123,466,448,302
39,Polyandrous,3,3,4,66,223,469,58,251,173,172,394,265,151
40,Monogamous,74,74,74,22,76,66,104,100,136,170,19,66,159
41,Polyandrous,10,10,6,79,36,191,184,127,361,179,711,472,570
42,Polyandrous,12,12,13,31,61,205,60,58,187,101,225,168,64
43,Polyandrous,9,9,10,79,183,451,100,207,373,74,399,344,336
44,Monogamous,75,75,75,47,107,320,48,26,45,103,218,240,75
45,Monogamous,76,76,76,43,6,0,0,0,0,0,0,0,0
46,Polyandrous,11,11,12,67,325,432,195,161,507,373,713,592,465
47,Monogamous,77,77,77,0,0,0,0,0,0,0,0,0,0
48,Monogamous,78,78,78,69,741,258,189,205,352,194,443,539,163
49,Monogamous,79,79,79,78,18,74,90,62,137,186,100,396,65
50,Monogamous,80,80,80,66,198,373,195,262,159,373,414,261,75
51,Monogamous,81,81,81,38,309,87,156,26,11,29,31,40,209
52,Monogamous,82,82,82,31,295,249,110,98,176,287,44,165,131
53,Polyandrous,22,22,23,57,427,285,246,345,191,274,405,206,108
54,Polyandrous,31,31,32,9,79,223,53,86,94,103,129,235,233
55,Monogamous,83,83,83,37,325,116,271,246,384,223,38,103,43
56,Monogamous,84,84,84,37,237,319,91,320,114,352,5,143,513
57,Monogamous,85,85,85,0,0,0,0,0,0,0,0,0,0
58,Monogamous,86,86,86,14,176,350,147,125,139,361,23,232,349
59,Monogamous,87,87,87,29,187,31,24,62,136,343,21,119,216
60,Polyandrous,34,34,35,61,375,217,374,161,147,517,30,489,162
61,Polyandrous,21,21,22,60,264,178,238,213,204,318,306,316,443
62,Monogamous,88,88,88,75,504,225,169,182,200,434,134,671,249
63,Monogamous,89,89,89,46,353,101,228,189,281,439,134,439,116
64,Monogamous,90,90,90,86,167,0,0,0,0,0,0,0,0
